id,parent,text,like_count,author_id,author,author_thumbnail,author_is_uploader,author_is_verified,author_url,is_favorited,_time_text,timestamp,is_pinned
UgwwxeMkrdRmsRIvfSV4AaABAg,root,如果能遙控汽車那就無敵了,0,UC6-rOToShhdoDjs1mwdQ8Qg,@yuyaolin7861,https://yt3.ggpht.com/ytc/AIdro_ng3vdmQ70ckkEDn8ODXy01T1k4iclHBSOBC5Qal-YxKcB6AAI=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@yuyaolin7861,False,1 day ago,1722816000,False
UgwcwAHPDBQwFFrIarJ4AaABAg,root,車架不行啦，現在好用的車架滿大街也不貴，真的不要省這個...,0,UCrhgUftp18uV5ut1sKqNSng,@alienslesh,https://yt3.ggpht.com/ytc/AIdro_n_0zIfatrhYXPEM89sYw00VFGZiYEu-aDQf-9cQo3STGk=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@alienslesh,False,2 days ago,1722729600,False
UgyRp6joWReid524u8B4AaABAg,root,"椅子是怎麼連的, 感覺很不穩。三天變垃圾。",2,UClseBqWYDKc4lbS1mXm_nEw,@hcleo7554,https://yt3.ggpht.com/ytc/AIdro_lNs1sqYFhVuqARWcb929IPm8XGu21lMWzBzbuOtw=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@hcleo7554,False,2 days ago,1722729600,False
UgyRp6joWReid524u8B4AaABAg.A6gpTtu6fMgA6i69vWPO31,UgyRp6joWReid524u8B4AaABAg,把電競椅原本鎖滾輪的螺孔改鎖在車架上,0,UCeQw10k2qvmCNUpcYiLTR4w,@tenarjoodie,https://yt3.ggpht.com/ytc/AIdro_khSbcYOk-ZJpJdnM0KT63okOiFU3WwtWMvAi-S5gxJah9fOAID9GlTIjWJnSHyDKWk4A=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@tenarjoodie,False,1 day ago,1722816000,False
UgwsL3gAwzb8tKiHSvN4AaABAg,root,這套夾得住高牛米的嗎?會不會很晃?,0,UCK8jHbU1kMtPt1yQJgmPQyg,@sheng8917,https://yt3.ggpht.com/ytc/AIdro_npaVHru0p5e7hfOUuqmy3nGoacU9v7adttDesV0w4=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@sheng8917,False,2 days ago,1722729600,False
UgyCWjRMALy3SGuCuDZ4AaABAg,root,這產品拍起來質感怎讓人有點皺眉頭  pass~,1,UCvgWhajC9O3O3cBlVQd_LEw,@garywu,https://yt3.ggpht.com/ytc/AIdro_nlTFVBMuCfHG5RpEpHZb1lni0g7R7E8Q2qbw0iWnMXnjQ=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@garywu,False,2 days ago,1722729600,False
UgzgN-9_2mTzCNulPjZ4AaABAg,root,想看裝上設備後的駕駛樣子，好奇中間桿子會不會影響操作，結果都只有半身畫面...,4,UClrI9eY9w8xOY-W0wJ_P8gg,@fenglin1886,https://yt3.ggpht.com/MTi8q6X1hJ8WQfTSlpa8y6QJKDC3ZbtHrs8j8EtyFrpubli1sSXY90ss-ZRayK03K76K-2EdCg=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@fenglin1886,False,2 days ago,1722729600,False
UgzmtxZMSwusg-6lsVB4AaABAg,root,這R5有地方不一樣耶,0,UC7qU8vq7bmQ0ygCzKvM6Nhw,@kunhaoho8349,https://yt3.ggpht.com/ytc/AIdro_kwuGfO4HboLqAIgQwxGIjR8_yNAw-ZGVceM5tES8UCYYM=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@kunhaoho8349,False,3 days ago,1722643200,False
UgyfIPNrPFP8pba8-5Z4AaABAg,root,這個幀數有點低欸，好像不太適合賽車,2,UCuYgwnP2iTjmM2OMLykcBdQ,@Sweet-pathfinder,https://yt3.ggpht.com/bmAJjuC5v4taZCDe4o9fe5UqAdMNMCatNkMNwc8XqbbMqeAjReg9y_q45s5pXQh_btq9LzcMqJ4=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@Sweet-pathfinder,False,3 days ago,1722643200,False
UgyfIPNrPFP8pba8-5Z4AaABAg.A6eaXg_tu19A6leDGQoLwL,UgyfIPNrPFP8pba8-5Z4AaABAg,賽車遊戲幀數60就夠了，上去都是多餘，太高只會讓畫面看起來很慢，正常60幀最像人眼高速視覺模糊。,0,UCcmFR5XRpvk3Y2zvj2pZqsg,@ryoma.z,https://yt3.ggpht.com/ytc/AIdro_myR9nDKlWe25db9hMT8jDdD1rn7myBvA-lzkxMpKI=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@ryoma.z,False,12 hours ago,1722888000,False
UgxyR7voIntAnTKicGl4AaABAg,root,椅子跟方向盤很好，但這車架看起來真的很LOW,3,UCCw_XWPl26X-I3NaMRsrsnA,@user-xw7eh5oo8f,https://yt3.ggpht.com/ytc/AIdro_kM0dPjYcrbNxEoXZiTXldbUgNU3ztq5jWfpdrBB1AmzyI=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@user-xw7eh5oo8f,False,3 days ago,1722643200,False
UgxyR7voIntAnTKicGl4AaABAg.A6e1SWmhk1MA6eZyv4M2ct,UgxyR7voIntAnTKicGl4AaABAg,鋁擠型真的太大了,0,UCuYgwnP2iTjmM2OMLykcBdQ,@Sweet-pathfinder,https://yt3.ggpht.com/bmAJjuC5v4taZCDe4o9fe5UqAdMNMCatNkMNwc8XqbbMqeAjReg9y_q45s5pXQh_btq9LzcMqJ4=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@Sweet-pathfinder,False,3 days ago,1722643200,False
UgxyR7voIntAnTKicGl4AaABAg.A6e1SWmhk1MA6hVBsnBycZ,UgxyR7voIntAnTKicGl4AaABAg,這款車架的重點是可折疊收納,0,UCrnuKAeBz-Py-fLPAAWf-kA,@loseheart0513,https://yt3.ggpht.com/zHFgR6OXgdPadUGMAHdi-1y8Sh6m07nKIMB_QE-ZYVDBfHLatNCq89rQNaPSECjZaMQmMP4stk8=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@loseheart0513,False,2 days ago,1722729600,False
UgytH0eJnoPPpQ2rT_B4AaABAg,root,GT3應該差不多9~12Nm,0,UCRLOSd2G8ETrDG-cqggvcxA,@IamGroot-OHYA,https://yt3.ggpht.com/v7SeGUIUBwTqBGPyDCmpEqdkHUQV5tf-4HYNCPiVJVcYnMNl8gy-dsnp2hjpP7Sk6gc6XcqwnvQ=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@IamGroot-OHYA,False,3 days ago,1722643200,False
UgxMDOcQ0XLw7F3C-bt4AaABAg,root,這套踏板要怎麼固定呢？感覺內附的螺絲都沒辦法鎖,0,UCiKIbpXnjoc1af4dgoTab3Q,@nickchiu0903,https://yt3.ggpht.com/ytc/AIdro_mwROK6YQLx4tp5oUMbakbBhkepq6V7TViC_choClZ6AJs=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@nickchiu0903,False,3 days ago,1722643200,False
UgwoFHL6zfMCdJNPbv94AaABAg,root,:yougotthis::yougotthis::yougotthis:🏎🏎🏎,1,UCbA6LFR--UE9vR9wSHFX66Q,@agent-zen9722,https://yt3.ggpht.com/ytc/AIdro_kjISCuYRnF15O1BWWjJeXk9OHFEIHst4I0Ok-q9iUODQ=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@agent-zen9722,False,3 days ago,1722643200,False
UgxNg8XJKuCoVFwTr5h4AaABAg,root,這套可以玩GT7嗎,1,UCNeAQ-oLLInR4PAtE8qrtxQ,@user-lk3mn1if7t,https://yt3.ggpht.com/ytc/AIdro_mHABxys7o5BOumMvW-CcSaJcTwNat-vFvWX1bRKzwOsvGYa84=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@user-lk3mn1if7t,True,5 days ago,1722470400,False
UgxNg8XJKuCoVFwTr5h4AaABAg.A6ZPdu8Pdq1A6ZPqTHgVjG,UgxNg8XJKuCoVFwTr5h4AaABAg,SONY系統沒辦法玩喔,2,UCBXDAVI790C4MS0dle2uJSA,@JASPERTOUR,https://yt3.ggpht.com/14mwZOh5NuR5VkC1XG_lMFTQu9yg3WX3knDX5pF6shRLE4gZlXuxnQV3zUU_eopb8do1WK_zHg=s88-c-k-c0x00ffffff-no-rj,True,False,https://www.youtube.com/@JASPERTOUR,False,5 days ago,1722470400,False
UgxNg8XJKuCoVFwTr5h4AaABAg.A6ZPdu8Pdq1A6_WOaPTh_z,UgxNg8XJKuCoVFwTr5h4AaABAg,可以買轉接器就可以囉 BROOK  brook ras1ution 2,1,UCG_3B7zTJvJWVTcUjPBmr1A,@saesar1029,https://yt3.ggpht.com/ytc/AIdro_m-BRcNRvLHK88PPLvO_U2hYHMirz7AvYbU7A_9Bgo=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@saesar1029,False,5 days ago,1722470400,False
Ugz2sxOBSyHhj1kqiEl4AaABAg,root,Aku melihat video mu,1,UC9ateP6VINZ0nmlZwAPVkPA,@AGUSFAMILY99,https://yt3.ggpht.com/YfjiSSMZijZU_SAHrdfIj4M3gRdbrXGwhlpyr8Me_3coVnfqQuOzt6qkL_As6uj2frHfIgF0RQ=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@AGUSFAMILY99,True,5 days ago,1722470400,False
Ugz2sxOBSyHhj1kqiEl4AaABAg.A6ZNf9RvXocA6ZPrvF6I2w,Ugz2sxOBSyHhj1kqiEl4AaABAg,Thanks~,0,UCBXDAVI790C4MS0dle2uJSA,@JASPERTOUR,https://yt3.ggpht.com/14mwZOh5NuR5VkC1XG_lMFTQu9yg3WX3knDX5pF6shRLE4gZlXuxnQV3zUU_eopb8do1WK_zHg=s88-c-k-c0x00ffffff-no-rj,True,False,https://www.youtube.com/@JASPERTOUR,False,5 days ago,1722470400,False
UgyWS2XGl-Lebo4bMUF4AaABAg,root,「5:32」灰色感覺質感很好,1,UC0pD2IiAmFsFlV1yB96FG6g,@user-li1hv5xq5r,https://yt3.ggpht.com/ytc/AIdro_nvLdP-k3YDtfhipYt6bw8HNkIA9Jsn20RwtI3wh-g=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@user-li1hv5xq5r,True,5 days ago,1722470400,False
UgyWS2XGl-Lebo4bMUF4AaABAg.A6ZKL-SuH-wA6ZPiQ6evlX,UgyWS2XGl-Lebo4bMUF4AaABAg,四個顏色都很好看,1,UCBXDAVI790C4MS0dle2uJSA,@JASPERTOUR,https://yt3.ggpht.com/14mwZOh5NuR5VkC1XG_lMFTQu9yg3WX3knDX5pF6shRLE4gZlXuxnQV3zUU_eopb8do1WK_zHg=s88-c-k-c0x00ffffff-no-rj,True,False,https://www.youtube.com/@JASPERTOUR,False,5 days ago,1722470400,False
Ugw66fL8qmSe0iwEWBp4AaABAg,root,"這組真的不貴。而且體積看起來小很多！
場景是志熙新家嗎...敲碗開箱....",4,UCtClpDd2UX4JDbu64elwBHg,@user-bt6cs7ek8k,https://yt3.ggpht.com/ytc/AIdro_l_OJWWzyPeqveHUw_ykTGYfkD3jTKvhRwfC8rX9MbZgDP4TRCoegsWkhVt_tFiZjFyC0o3Dzo4=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@user-bt6cs7ek8k,True,5 days ago,1722470400,False
Ugw66fL8qmSe0iwEWBp4AaABAg.A6ZJvidLoKDA6ZPnmaFylH,Ugw66fL8qmSe0iwEWBp4AaABAg,收納蠻方便的！新家的話...有機會開給大家看😂,2,UCBXDAVI790C4MS0dle2uJSA,@JASPERTOUR,https://yt3.ggpht.com/14mwZOh5NuR5VkC1XG_lMFTQu9yg3WX3knDX5pF6shRLE4gZlXuxnQV3zUU_eopb8do1WK_zHg=s88-c-k-c0x00ffffff-no-rj,True,False,https://www.youtube.com/@JASPERTOUR,False,5 days ago,1722470400,False
UgydCBG0iW3yWmlcc_94AaABAg,root,模拟车也是车啊，囼湾人不可以偷税漏税哦，200万囼币买车，21亿囼币买房，青蛙就应该摆在盘子上😂，好好努力工作，买房买车哦😜,0,UCziFyCLzPdrv4JYcOoSg8Kg,@higamen4347,https://yt3.ggpht.com/ytc/AIdro_nzCmWIEDScym6S9zBQhAuKSYxPEAtKDIsd9f6yQ9lhLw=s88-c-k-c0x00ffffff-no-rj,False,False,https://www.youtube.com/@higamen4347,False,5 days ago,1722470400,False
